fuel_type_code,fuel_type_name,fuel_category,is_renewable,is_interconnector,is_dispatchable,sort_order
CCGT,Combined Cycle Gas Turbine,Fossil,false,false,true,10
OCGT,Open Cycle Gas Turbine,Fossil,false,false,true,20
COAL,Coal,Fossil,false,false,true,30
OIL,Oil,Fossil,false,false,true,40
NUCLEAR,Nuclear,Low carbon,false,false,false,50
WIND,Wind,Renewable,true,false,false,60
NPSHYD,Hydro (non-pumped storage),Renewable,true,false,true,70
BIOMASS,Biomass,Renewable,true,false,true,80
PS,Pumped Storage,Storage,false,false,true,90
OTHER,Other,Other,false,false,false,100
INTFR,IFA (France),Interconnector,false,true,false,110
INTIFA2,IFA2 (France),Interconnector,false,true,false,120
INTELEC,ElecLink (France),Interconnector,false,true,false,130
INTNED,BritNed (Netherlands),Interconnector,false,true,false,140
INTNEM,Nemo Link (Belgium),Interconnector,false,true,false,150
INTIRL,Moyle (Northern Ireland),Interconnector,false,true,false,160
INTEW,East West (Ireland),Interconnector,false,true,false,170
INTGRNL,Greenlink (Ireland),Interconnector,false,true,false,180
INTNSL,North Sea Link (Norway),Interconnector,false,true,false,190
INTVKL,Viking Link (Denmark),Interconnector,false,true,false,200
