region_id,region_name,region_short_name,country,gsp_group_id,is_aggregate
1,North Scotland,N Scotland,Scotland,_P,false
2,South Scotland,S Scotland,Scotland,_N,false
3,North West England,NW England,England,_G,false
4,North East England,NE England,England,_F,false
5,Yorkshire,Yorkshire,England,_M,false
6,North Wales and Merseyside,N Wales & Mersey,Wales,_D,false
7,South Wales,S Wales,Wales,_K,false
8,West Midlands,W Midlands,England,_E,false
9,East Midlands,E Midlands,England,_B,false
10,East England,E England,England,_A,false
11,South West England,SW England,England,_L,false
12,South England,S England,England,_H,false
13,London,London,England,_C,false
14,South East England,SE England,England,_J,false
15,England,England,England,,true
16,Scotland,Scotland,Scotland,,true
17,Wales,Wales,Wales,,true
18,Great Britain,GB,GB,,true
