holiday_date,holiday_name,nation
2023-01-02,New Year's Day,england-and-wales
2023-01-02,New Year's Day,northern-ireland
2023-01-02,New Year's Day,scotland
2023-01-03,2nd January,scotland
2023-03-17,St Patrick's Day,northern-ireland
2023-04-07,Good Friday,england-and-wales
2023-04-07,Good Friday,northern-ireland
2023-04-07,Good Friday,scotland
2023-04-10,Easter Monday,england-and-wales
2023-04-10,Easter Monday,northern-ireland
2023-05-01,Early May bank holiday,england-and-wales
2023-05-01,Early May bank holiday,northern-ireland
2023-05-01,Early May bank holiday,scotland
2023-05-08,Bank holiday for the coronation of King Charles III,england-and-wales
2023-05-08,Bank holiday for the coronation of King Charles III,northern-ireland
2023-05-08,Bank holiday for the coronation of King Charles III,scotland
2023-05-29,Spring bank holiday,england-and-wales
2023-05-29,Spring bank holiday,northern-ireland
2023-05-29,Spring bank holiday,scotland
2023-07-12,Battle of the Boyne (Orangemen's Day),northern-ireland
2023-08-07,Summer bank holiday,scotland
2023-08-28,Summer bank holiday,england-and-wales
2023-08-28,Summer bank holiday,northern-ireland
2023-11-30,St Andrew's Day,scotland
2023-12-25,Christmas Day,england-and-wales
2023-12-25,Christmas Day,northern-ireland
2023-12-25,Christmas Day,scotland
2023-12-26,Boxing Day,england-and-wales
2023-12-26,Boxing Day,northern-ireland
2023-12-26,Boxing Day,scotland
2024-01-01,New Year's Day,england-and-wales
2024-01-01,New Year's Day,northern-ireland
2024-01-01,New Year's Day,scotland
2024-01-02,2nd January,scotland
2024-03-18,St Patrick's Day,northern-ireland
2024-03-29,Good Friday,england-and-wales
2024-03-29,Good Friday,northern-ireland
2024-03-29,Good Friday,scotland
2024-04-01,Easter Monday,england-and-wales
2024-04-01,Easter Monday,northern-ireland
2024-05-06,Early May bank holiday,england-and-wales
2024-05-06,Early May bank holiday,northern-ireland
2024-05-06,Early May bank holiday,scotland
2024-05-27,Spring bank holiday,england-and-wales
2024-05-27,Spring bank holiday,northern-ireland
2024-05-27,Spring bank holiday,scotland
2024-07-12,Battle of the Boyne (Orangemen's Day),northern-ireland
2024-08-05,Summer bank holiday,scotland
2024-08-26,Summer bank holiday,england-and-wales
2024-08-26,Summer bank holiday,northern-ireland
2024-12-02,St Andrew's Day,scotland
2024-12-25,Christmas Day,england-and-wales
2024-12-25,Christmas Day,northern-ireland
2024-12-25,Christmas Day,scotland
2024-12-26,Boxing Day,england-and-wales
2024-12-26,Boxing Day,northern-ireland
2024-12-26,Boxing Day,scotland
2025-01-01,New Year's Day,england-and-wales
2025-01-01,New Year's Day,northern-ireland
2025-01-01,New Year's Day,scotland
2025-01-02,2nd January,scotland
2025-03-17,St Patrick's Day,northern-ireland
2025-04-18,Good Friday,england-and-wales
2025-04-18,Good Friday,northern-ireland
2025-04-18,Good Friday,scotland
2025-04-21,Easter Monday,england-and-wales
2025-04-21,Easter Monday,northern-ireland
2025-05-05,Early May bank holiday,england-and-wales
2025-05-05,Early May bank holiday,northern-ireland
2025-05-05,Early May bank holiday,scotland
2025-05-26,Spring bank holiday,england-and-wales
2025-05-26,Spring bank holiday,northern-ireland
2025-05-26,Spring bank holiday,scotland
2025-07-14,Battle of the Boyne (Orangemen's Day),northern-ireland
2025-08-04,Summer bank holiday,scotland
2025-08-25,Summer bank holiday,england-and-wales
2025-08-25,Summer bank holiday,northern-ireland
2025-12-01,St Andrew's Day,scotland
2025-12-25,Christmas Day,england-and-wales
2025-12-25,Christmas Day,northern-ireland
2025-12-25,Christmas Day,scotland
2025-12-26,Boxing Day,england-and-wales
2025-12-26,Boxing Day,northern-ireland
2025-12-26,Boxing Day,scotland
2026-01-01,New Year's Day,england-and-wales
2026-01-01,New Year's Day,northern-ireland
2026-01-01,New Year's Day,scotland
2026-01-02,2nd January,scotland
2026-03-17,St Patrick's Day,northern-ireland
2026-04-03,Good Friday,england-and-wales
2026-04-03,Good Friday,northern-ireland
2026-04-03,Good Friday,scotland
2026-04-06,Easter Monday,england-and-wales
2026-04-06,Easter Monday,northern-ireland
2026-05-04,Early May bank holiday,england-and-wales
2026-05-04,Early May bank holiday,northern-ireland
2026-05-04,Early May bank holiday,scotland
2026-05-25,Spring bank holiday,england-and-wales
2026-05-25,Spring bank holiday,northern-ireland
2026-05-25,Spring bank holiday,scotland
2026-06-15,World Cup bank holiday,scotland
2026-07-13,Battle of the Boyne (Orangemen's Day),northern-ireland
2026-08-03,Summer bank holiday,scotland
2026-08-31,Summer bank holiday,england-and-wales
2026-08-31,Summer bank holiday,northern-ireland
2026-11-30,St Andrew's Day,scotland
2026-12-25,Christmas Day,england-and-wales
2026-12-25,Christmas Day,northern-ireland
2026-12-25,Christmas Day,scotland
2026-12-28,Boxing Day,england-and-wales
2026-12-28,Boxing Day,northern-ireland
2026-12-28,Boxing Day,scotland
2027-01-01,New Year's Day,england-and-wales
2027-01-01,New Year's Day,northern-ireland
2027-01-01,New Year's Day,scotland
2027-01-04,2nd January,scotland
2027-03-17,St Patrick's Day,northern-ireland
2027-03-26,Good Friday,england-and-wales
2027-03-26,Good Friday,northern-ireland
2027-03-26,Good Friday,scotland
2027-03-29,Easter Monday,england-and-wales
2027-03-29,Easter Monday,northern-ireland
2027-05-03,Early May bank holiday,england-and-wales
2027-05-03,Early May bank holiday,northern-ireland
2027-05-03,Early May bank holiday,scotland
2027-05-31,Spring bank holiday,england-and-wales
2027-05-31,Spring bank holiday,northern-ireland
2027-05-31,Spring bank holiday,scotland
2027-07-12,Battle of the Boyne (Orangemen's Day),northern-ireland
2027-08-02,Summer bank holiday,scotland
2027-08-30,Summer bank holiday,england-and-wales
2027-08-30,Summer bank holiday,northern-ireland
2027-11-30,St Andrew's Day,scotland
2027-12-27,Christmas Day,england-and-wales
2027-12-27,Christmas Day,northern-ireland
2027-12-27,Christmas Day,scotland
2027-12-28,Boxing Day,england-and-wales
2027-12-28,Boxing Day,northern-ireland
2027-12-28,Boxing Day,scotland
2028-01-03,New Year's Day,england-and-wales
2028-01-03,New Year's Day,northern-ireland
2028-01-03,New Year's Day,scotland
2028-01-04,2nd January,scotland
2028-03-17,St Patrick's Day,northern-ireland
2028-04-14,Good Friday,england-and-wales
2028-04-14,Good Friday,northern-ireland
2028-04-14,Good Friday,scotland
2028-04-17,Easter Monday,england-and-wales
2028-04-17,Easter Monday,northern-ireland
2028-05-01,Early May bank holiday,england-and-wales
2028-05-01,Early May bank holiday,northern-ireland
2028-05-01,Early May bank holiday,scotland
2028-05-29,Spring bank holiday,england-and-wales
2028-05-29,Spring bank holiday,northern-ireland
2028-05-29,Spring bank holiday,scotland
2028-07-12,Battle of the Boyne (Orangemen's Day),northern-ireland
2028-08-07,Summer bank holiday,scotland
2028-08-28,Summer bank holiday,england-and-wales
2028-08-28,Summer bank holiday,northern-ireland
2028-11-30,St Andrew's Day,scotland
2028-12-25,Christmas Day,england-and-wales
2028-12-25,Christmas Day,northern-ireland
2028-12-25,Christmas Day,scotland
2028-12-26,Boxing Day,england-and-wales
2028-12-26,Boxing Day,northern-ireland
2028-12-26,Boxing Day,scotland
